fecha,ventas,clientes,productos,ingresos,region
2024-01-01,1250,45,89,18750,Norte
2024-01-02,1380,52,94,20700,Norte
2024-01-03,1120,38,76,16800,Sur
2024-01-04,1560,61,102,23400,Norte
2024-01-05,1420,49,88,21300,Sur
2024-01-06,1680,67,115,25200,Este
2024-01-07,1340,44,82,20100,Oeste
2024-01-08,1890,73,128,28350,Norte
2024-01-09,1520,55,95,22800,Sur
2024-01-10,1760,62,108,26400,Este
2024-01-11,1430,48,87,21450,Oeste
2024-01-12,1980,71,125,29700,Norte
2024-01-13,1650,58,98,24750,Sur
2024-01-14,1820,65,112,27300,Este
2024-01-15,1390,47,85,20850,Oeste
2024-01-16,1950,69,118,29250,Norte
2024-01-17,1480,51,91,22200,Sur
2024-01-18,1720,64,105,25800,Este
2024-01-19,1590,56,93,23850,Oeste
2024-01-20,1840,68,110,27600,Norte
2024-01-21,1320,43,79,19800,Sur
2024-01-22,1780,66,107,26700,Este
2024-01-23,1450,50,88,21750,Oeste
2024-01-24,1920,70,120,28800,Norte
2024-01-25,1360,46,82,20400,Sur
2024-01-26,1860,67,109,27900,Este
2024-01-27,1530,54,90,22950,Oeste
2024-01-28,1790,65,106,26850,Norte
2024-01-29,1410,48,84,21150,Sur
2024-01-30,1750,63,104,26250,Este
